code,name,start_date,end_date,cup_formed,reason
000612,焦作万方,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000617,中油资本,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000619,海螺新材,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000620,盈新发展,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000623,吉林敖东,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000625,长安汽车,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000626,远大控股,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000628,高新发展,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000629,钒钛股份,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000630,铜陵有色,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000631,顺发恒能,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000632,三木集团,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000633,合金投资,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000635,英 力 特,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000636,风华高科,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000637,茂化实华,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000639,西王食品,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000650,仁和药业,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000651,格力电器,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000652,泰达股份,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000655,金岭矿业,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000657,中钨高新,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000659,珠海中富,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000661,长春高新,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000663,永安林业,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000665,湖北广电,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000670,盈方微,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000672,上峰水泥,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000676,智度股份,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000677,恒天海龙,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000678,襄阳轴承,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000679,大连友谊,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000680,山推股份,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000681,视觉中国,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000682,东方电子,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000683,博源化工,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000685,中山公用,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000686,东北证券,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000688,国城矿业,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000690,宝新能源,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000692,惠天热电,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000695,滨海能源,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000700,模塑科技,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000701,厦门信达,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000702,正虹科技,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000703,恒逸石化,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000705,浙江震元,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000707,双环科技,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000708,中信特钢,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000709,河钢股份,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000710,贝瑞基因,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000712,锦龙股份,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000713,国投丰乐,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000715,中兴商业,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000716,黑芝麻,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000717,中南股份,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000718,苏宁环球,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000719,中原传媒,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000720,新能泰山,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000721,西安饮食,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000722,湖南发展,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000723,美锦能源,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000725,京东方Ａ,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000726,鲁 泰Ａ,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000727,冠捷科技,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000728,国元证券,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000729,燕京啤酒,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
